city,province,query_name,province_en,latitude,longitude,timezone,enabled,resolved_name,admin1,admin2,last_resolved_at
五家渠市,新疆维吾尔自治区,Wujiaqu,Xinjiang (XPCC),44.16279,87.52174,Asia/Urumqi,1,Wujiaqu,Xinjiang,Changji Hui Autonomous Prefecture,2026-04-09 21:30:41
北屯市,新疆维吾尔自治区,Beitun,Xinjiang (XPCC),47.35249,87.82053,Asia/Urumqi,1,Beitun,Xinjiang,Aletai Diqu,2026-04-09 21:30:36
双河市,新疆维吾尔自治区,Shuanghe,Xinjiang (XPCC),,,Asia/Shanghai,0,,,,2026-04-10 09:43:29
可克达拉市,新疆维吾尔自治区,Kokdala,Xinjiang (XPCC),,,Asia/Shanghai,0,,,,2026-04-10 09:43:31
图木舒克市,新疆维吾尔自治区,Tumxuk,Xinjiang (XPCC),41.36861,79.96278,Asia/Urumqi,1,Tumxuk,Xinjiang,Aksu Prefecture,2026-04-09 21:30:37
昆玉市,新疆维吾尔自治区,Kunyu,Xinjiang (XPCC),37.60896,75.57233,Asia/Urumqi,1,Kunyuzi,Xinjiang,Kashgar Prefecture,2026-04-09 21:39:35
石河子市,新疆维吾尔自治区,Shihezi,Xinjiang (XPCC),44.3023,86.03694,Asia/Urumqi,1,Shihezi,Xinjiang,Shihezi,2026-04-09 21:30:37
铁门关市,新疆维吾尔自治区,Tiemenguan,Xinjiang (XPCC),41.85839,86.21414,Asia/Urumqi,1,Tiemenguan,Xinjiang,Bayingolin Mongol Autonomous Prefecture,2026-04-09 21:30:38
阿拉尔市,新疆维吾尔自治区,Aral,Xinjiang (XPCC),40.54184,81.26566,Asia/Urumqi,1,Aral,Xinjiang,Aksu Prefecture,2026-04-09 21:30:43
上海市,上海市,Shanghai,Shanghai,31.22222,121.45806,Asia/Shanghai,1,Shanghai,Shanghai,Shanghai Municipality,2026-04-09 21:30:38
个旧市,云南省,Gejiu,Yunnan,23.36085,103.15372,Asia/Shanghai,1,Gejiu,Yunnan,Honghe Hanizu Yizu Zizhizhou,2026-04-09 21:30:39
临沧市,云南省,Lincang,Yunnan,23.87972,100.09455,Asia/Shanghai,1,Lincang,Yunnan,Lincang Shi,2026-04-09 21:30:39
丽江市,云南省,Lijiang,Yunnan,26.86879,100.22072,Asia/Shanghai,1,Lijiang,Yunnan,Lijiang Shi,2026-04-09 21:30:39
保山市,云南省,Baoshan,Yunnan,25.11626,99.16366,Asia/Shanghai,1,Baoshan,Yunnan,Baoshan Shi,2026-04-09 21:30:39
大理市,云南省,Dali,Yunnan,25.58474,100.21229,Asia/Shanghai,1,Dali,Yunnan,Dali Bai Autonomous Prefecture,2026-04-09 21:30:39
安宁市,云南省,Anning,Yunnan,24.92271,102.48496,Asia/Shanghai,1,Anning,Yunnan,Kunming Shi,2026-04-09 21:30:40
宣威市,云南省,Xuanwei,Yunnan,26.1431,103.415,Asia/Shanghai,1,Xuanweicun,Yunnan,Qujing Shi,2026-04-09 21:39:32
开远市,云南省,Kaiyuan,Yunnan,23.69767,103.30372,Asia/Shanghai,1,Kaiyuan,Yunnan,Honghe Hanizu Yizu Zizhizhou,2026-04-09 21:30:41
弥勒市,云南省,Mile,Yunnan,26.1705,104.258,Asia/Shanghai,1,Mile,Yunnan,Honghe Hanizu Yizu Zizhizhou,2026-04-09 21:30:41
文山市,云南省,Wenshan,Yunnan,24.3232,102.211,Asia/Shanghai,1,Wenshan,Yunnan,Yuxi Shi,2026-04-09 21:30:43
昆明市,云南省,Kunming,Yunnan,25.03889,102.71833,Asia/Shanghai,1,Kunming,Yunnan,Kunming Shi,2026-04-09 21:30:41
昭通市,云南省,Zhaotong,Yunnan,27.31667,103.71667,Asia/Shanghai,1,Zhaotong,Yunnan,Zhaotong Shi,2026-04-09 21:30:43
普洱市,云南省,Pu'er,Yunnan,,,Asia/Shanghai,0,,,,2026-04-10 09:43:39
景洪市,云南省,Jinghong,Yunnan,22.00265,100.7697,Asia/Shanghai,1,Jinghong,Yunnan,Xishuangbanna Daizu Zizhizhou,2026-04-09 21:30:43
曲靖市,云南省,Qujing,Yunnan,25.48333,103.78333,Asia/Shanghai,1,Qujing,Yunnan,Qujing Shi,2026-04-09 21:30:43
楚雄市,云南省,Chuxiong,Yunnan,25.03639,101.54556,Asia/Shanghai,1,Chuxiong,Yunnan,Chuxiong Yi Autonomous Prefecture,2026-04-09 21:30:43
水富市,云南省,Shuifu,Yunnan,28.63266,104.40416,Asia/Shanghai,1,Xiangjiaba,Yunnan,Zhaotong Shi,2026-04-09 21:39:34
泸水市,云南省,Lushui,Yunnan,23.3797,101.598,Asia/Shanghai,1,Lushui,Yunnan,Pu'er City,2026-04-09 21:30:44
玉溪市,云南省,Yuxi,Yunnan,24.355,102.54222,Asia/Shanghai,1,Yuxi,Yunnan,Yuxi Shi,2026-04-09 21:30:45
瑞丽市,云南省,Ruili,Yunnan,22.1359,100.273,Asia/Shanghai,1,Ruili,Yunnan,Xishuangbanna Daizu Zizhizhou,2026-04-09 21:30:45
腾冲市,云南省,Tengchong,Yunnan,24.93933,98.48368,Asia/Shanghai,1,Tengchong Airport,Yunnan,Baoshan Shi,2026-04-09 21:39:32
芒市,云南省,Mangshi,Yunnan,24.45329,98.57037,Asia/Shanghai,1,Mang City,Yunnan,Dehong Daizu Jingpozu Zizhizhou,2026-04-09 21:30:51
蒙自市,云南省,Mengzi,Yunnan,24.9399,100.104,Asia/Shanghai,1,Mengzi,Yunnan,Lincang Shi,2026-04-09 21:30:48
香格里拉市,云南省,Shangri-La,Yunnan,27.82511,99.70779,Asia/Shanghai,1,Shangri-La,Yunnan,Deqen,2026-04-09 21:30:47
丰镇市,内蒙古自治区,Fengzhen,Inner Mongolia,40.43944,113.15361,Asia/Shanghai,1,Fengzhen,Inner Mongolia,Wulanchabu Shi,2026-04-09 21:30:50
乌兰察布市,内蒙古自治区,Ulanqab,Inner Mongolia,40.993,113.133,Asia/Shanghai,1,Ulanqab,Inner Mongolia,Wulanchabu Shi,2026-04-09 21:30:48
乌兰浩特市,内蒙古自治区,Ulanhot,Inner Mongolia,46.08333,122.08333,Asia/Shanghai,1,Ulanhot,Inner Mongolia,Hinggan Meng,2026-04-09 21:30:49
乌海市,内蒙古自治区,Wuhai,Inner Mongolia,39.68442,106.81583,Asia/Shanghai,1,Wuhai,Inner Mongolia,wuhai shi,2026-04-09 21:30:49
二连浩特市,内蒙古自治区,Erenhot,Inner Mongolia,43.6475,111.97667,Asia/Shanghai,1,Erenhot,Inner Mongolia,Xilingol League,2026-04-09 21:30:50
包头市,内蒙古自治区,Baotou,Inner Mongolia,40.6516,109.84389,Asia/Shanghai,1,Baotou,Inner Mongolia,Baotou Shi,2026-04-09 21:30:50
呼伦贝尔市,内蒙古自治区,Hulunbuir,Inner Mongolia,49.21141,119.75582,Asia/Shanghai,1,Hulun Buir,Inner Mongolia,Hulunbuir,2026-04-09 21:30:50
呼和浩特市,内蒙古自治区,Hohhot,Inner Mongolia,40.81056,111.65222,Asia/Shanghai,1,Hohhot,Inner Mongolia,Hohhot Shi,2026-04-09 21:30:52
巴彦淖尔市,内蒙古自治区,Bayannur,Inner Mongolia,40.9264,107.739,Asia/Shanghai,1,Bayannur Airport,Inner Mongolia,Bayannur Shi,2026-04-09 21:31:01
扎兰屯市,内蒙古自治区,Zhalantun,Inner Mongolia,48.00945,122.73651,Asia/Shanghai,1,Zhalantun,Inner Mongolia,Hulunbuir,2026-04-09 21:30:52
根河市,内蒙古自治区,Genhe,Inner Mongolia,50.78333,121.51667,Asia/Shanghai,1,Genhe,Inner Mongolia,Hulunbuir,2026-04-09 21:30:53
满洲里市,内蒙古自治区,Manzhouli,Inner Mongolia,49.6,117.43333,Asia/Shanghai,1,Manzhouli,Inner Mongolia,Hulunbuir,2026-04-09 21:30:52
牙克石市,内蒙古自治区,Yakeshi,Inner Mongolia,49.28333,120.73333,Asia/Shanghai,1,Yakeshi,Inner Mongolia,Hulunbuir,2026-04-09 21:30:53
赤峰市,内蒙古自治区,Chifeng,Inner Mongolia,42.26833,118.96361,Asia/Shanghai,1,Chifeng,Inner Mongolia,Chifeng Shi,2026-04-09 21:30:54
通辽市,内蒙古自治区,Tongliao,Inner Mongolia,43.6125,122.26528,Asia/Shanghai,1,Tongliao,Inner Mongolia,Tongliao Shi,2026-04-09 21:30:54
鄂尔多斯市,内蒙古自治区,Ordos,Inner Mongolia,39.6086,109.78157,Asia/Shanghai,1,Ordos,Inner Mongolia,Ordos Shi,2026-04-09 21:30:54
锡林浩特市,内蒙古自治区,Xilinhot,Inner Mongolia,43.93889,116.07021,Asia/Shanghai,1,Xiritala,Inner Mongolia,Xilingol League,2026-04-09 21:31:02
阿尔山市,内蒙古自治区,Arxan,Inner Mongolia,44.9,118.1,Asia/Shanghai,1,Arxan Bulag,Inner Mongolia,Xilingol League,2026-04-09 21:31:02
霍林郭勒市,内蒙古自治区,Holingol,Inner Mongolia,,,Asia/Shanghai,0,,,,2026-04-10 09:43:32
额尔古纳市,内蒙古自治区,Ergun,Inner Mongolia,50.22362,120.17092,Asia/Shanghai,1,Ergun,Inner Mongolia,Hulunbuir,2026-04-09 21:30:55
北京市,北京市,Beijing,Beijing,39.9075,116.39723,Asia/Shanghai,1,Beijing,Beijing,Beijing,2026-04-09 21:30:55
临江市,吉林省,Linjiang,Jilin,41.80694,126.90778,Asia/Shanghai,1,Linjiang,Jilin,baishan shi,2026-04-09 21:30:56
公主岭市,吉林省,Gongzhuling,Jilin,43.50075,124.81979,Asia/Shanghai,1,Gongzhuling,Jilin,Siping Shi,2026-04-09 21:30:56
双辽市,吉林省,Shuangliao,Jilin,43.51067,123.50069,Asia/Shanghai,1,Shuangliao,Jilin,Siping Shi,2026-04-09 21:30:57
吉林市,吉林省,Jilin,Jilin,43.84652,126.5608,Asia/Shanghai,1,Jilin City,Jilin,Jilin City,2026-04-09 21:31:02
和龙市,吉林省,Helong,Jilin,42.53974,128.99722,Asia/Shanghai,1,Helong,Jilin,Yanbian Korean Autonomous Prefecture,2026-04-09 21:31:00
四平市,吉林省,Siping,Jilin,43.16143,124.37785,Asia/Shanghai,1,Siping,Jilin,Siping Shi,2026-04-09 21:30:58
图们市,吉林省,Tumen,Jilin,42.96562,129.842,Asia/Shanghai,1,Tumen,Jilin,,2026-04-09 21:31:01
大安市,吉林省,Da'an,Jilin,,,Asia/Shanghai,0,,,,2026-04-10 09:43:40
延吉市,吉林省,Yanji,Jilin,42.88825,129.50241,Asia/Shanghai,1,Yanji,Jilin,Yanbian Korean Autonomous Prefecture,2026-04-09 21:31:04
德惠市,吉林省,Dehui,Jilin,44.53333,125.7,Asia/Shanghai,1,Dehui,Jilin,Changchun Shi,2026-04-09 21:31:02
扶余市,吉林省,Fuyu,Jilin,45.18333,124.81667,Asia/Shanghai,1,Fuyu,Jilin,Songyuan Shi,2026-04-09 21:31:03
敦化市,吉林省,Dunhua,Jilin,43.36954,128.2286,Asia/Shanghai,1,Dunhua,Jilin,Yanbian Korean Autonomous Prefecture,2026-04-09 21:31:03
松原市,吉林省,Songyuan,Jilin,45.12902,124.82769,Asia/Shanghai,1,Songyuan,Jilin,Songyuan Shi,2026-04-09 21:31:05
桦甸市,吉林省,Huadian,Jilin,42.96333,126.74778,Asia/Shanghai,1,Huadian,Jilin,Jilin City,2026-04-09 21:31:04
梅河口市,吉林省,Meihekou,Jilin,42.52869,125.67876,Asia/Shanghai,1,Meihekou,Jilin,Tonghua Shi,2026-04-09 21:31:04
榆树市,吉林省,Yushu,Jilin,44.82751,126.54063,Asia/Shanghai,1,Yushu,Jilin,Changchun Shi,2026-04-09 21:31:04
洮南市,吉林省,Taonan,Jilin,45.33319,122.78464,Asia/Shanghai,1,Taonan,Jilin,Baicheng Shi,2026-04-09 21:31:06
珲春市,吉林省,Hunchun,Jilin,42.8675,130.35806,Asia/Shanghai,1,Hunchun,Jilin,Yanbian Korean Autonomous Prefecture,2026-04-09 21:31:06
白城市,吉林省,Baicheng,Jilin,45.61751,122.83302,Asia/Shanghai,1,Baicheng,Jilin,Baicheng Shi,2026-04-09 21:31:05
白山市,吉林省,Baishan,Jilin,41.93853,126.41965,Asia/Shanghai,1,Baishan,Jilin,baishan shi,2026-04-09 21:31:06
磐石市,吉林省,Panshi,Jilin,42.93719,126.05743,Asia/Shanghai,1,Panshi,Jilin,Jilin City,2026-04-09 21:31:06
舒兰市,吉林省,Shulan,Jilin,44.41134,126.94827,Asia/Shanghai,1,Shulan,Jilin,Jilin City,2026-04-09 21:31:07
蛟河市,吉林省,Jiaohe,Jilin,43.72133,127.33473,Asia/Shanghai,1,Jiaohe,Jilin,Jilin City,2026-04-09 21:31:06
辽源市,吉林省,Liaoyuan,Jilin,,,Asia/Shanghai,0,,,,2026-04-10 09:43:32
通化市,吉林省,Tonghua,Jilin,41.71972,125.92639,Asia/Shanghai,1,Tonghua,Jilin,Tonghua Shi,2026-04-09 21:31:08
长春市,吉林省,Changchun,Jilin,43.88,125.32278,Asia/Shanghai,1,Changchun,Jilin,Changchun Shi,2026-04-09 21:31:07
集安市,吉林省,Ji'an,Jilin,41.12818,126.19455,Asia/Shanghai,1,Ji’an,Jilin,Tonghua Shi,2026-04-09 21:31:11
龙井市,吉林省,Longjing,Jilin,42.77131,129.42307,Asia/Shanghai,1,Longjing,Jilin,Yanbian Korean Autonomous Prefecture,2026-04-09 21:31:09
万源市,四川省,Wanyuan,Sichuan,32.4188,105.863,Asia/Shanghai,1,Wanyuan,Sichuan,Guangyuan Shi,2026-04-09 21:31:09
乐山市,四川省,Leshan,Sichuan,29.56227,103.76386,Asia/Shanghai,1,Leshan,Sichuan,Leshan Shi,2026-04-09 21:31:08
什邡市,四川省,Shifang,Sichuan,,,Asia/Shanghai,0,,,,2026-04-10 09:43:54
内江市,四川省,Neijiang,Sichuan,29.58354,105.06216,Asia/Shanghai,1,Neijiang,Sichuan,Neijiang Shi,2026-04-09 21:31:09
华蓥市,四川省,Huaying,Sichuan,30.13449,106.74476,Asia/Shanghai,1,Huaying,Sichuan,Guang’an Shi,2026-04-09 21:31:10
南充市,四川省,Nanchong,Sichuan,30.79508,106.08473,Asia/Shanghai,1,Nanchong,Sichuan,Nanchong Shi,2026-04-09 21:31:10
宜宾市,四川省,Yibin,Sichuan,28.7593,104.63994,Asia/Shanghai,1,Yibin,Sichuan,Yibin Shi,2026-04-09 21:31:11
峨眉山市,四川省,Emeishan,Sichuan,29.60188,103.48425,Asia/Shanghai,1,Emeishan City,Sichuan,Leshan Shi,2026-04-09 21:31:16
崇州市,四川省,Chongzhou,Sichuan,30.63029,103.67263,Asia/Shanghai,1,Chongzhou,Sichuan,Chengdu Shi,2026-04-09 21:31:11
巴中市,四川省,Bazhong,Sichuan,31.8694,106.74432,Asia/Shanghai,1,Bazhong,Sichuan,Bazhong,2026-04-09 21:31:12
广元市,四川省,Guangyuan,Sichuan,32.44201,105.823,Asia/Shanghai,1,Guangyuan,Sichuan,Guangyuan Shi,2026-04-09 21:31:13
广安市,四川省,Guang'an,Sichuan,,,Asia/Shanghai,0,,,,2026-04-10 09:44:00
广汉市,四川省,Guanghan,Sichuan,30.94866,104.32952,Asia/Shanghai,1,Guanghan Airport,Sichuan,Deyang Shi,2026-04-09 21:39:46
康定市,四川省,Kangding,Sichuan,30.00222,101.9569,Asia/Shanghai,1,Kangding,Sichuan,Garzê,2026-04-09 21:31:13
彭州市,四川省,Pengzhou,Sichuan,,,Asia/Shanghai,0,,,,2026-04-10 09:43:57
德阳市,四川省,Deyang,Sichuan,31.13019,104.38198,Asia/Shanghai,1,Deyang,Sichuan,Deyang Shi,2026-04-09 21:31:15
成都市,四川省,Chengdu,Sichuan,30.66667,104.06667,Asia/Shanghai,1,Chengdu,Sichuan,Chengdu Shi,2026-04-09 21:31:15
攀枝花市,四川省,Panzhihua,Sichuan,26.58509,101.71276,Asia/Shanghai,1,Panzhihua,Sichuan,Panzhihua Shi,2026-04-09 21:31:17
江油市,四川省,Jiangyou,Sichuan,31.76667,104.71667,Asia/Shanghai,1,Jiangyou,Sichuan,Mianyang Shi,2026-04-09 21:31:16
泸州市,四川省,Luzhou,Sichuan,28.8903,105.42575,Asia/Shanghai,1,Luzhou,Sichuan,Luzhou Shi,2026-04-09 21:31:42
眉山市,四川省,Meishan,Sichuan,30.04392,103.83696,Asia/Shanghai,1,Meishan,Sichuan,Meishan Shi,2026-04-09 21:31:18
简阳市,四川省,Jianyang,Sichuan,,,Asia/Shanghai,0,,,,2026-04-10 09:43:59
绵竹市,四川省,Mianzhu,Sichuan,29.62306,103.69359,Asia/Shanghai,1,Mianzhu,Sichuan,Leshan Shi,2026-04-09 21:31:44
绵阳市,四川省,Mianyang,Sichuan,31.46784,104.68168,Asia/Shanghai,1,Mianyang,Sichuan,Mianyang Shi,2026-04-09 21:31:44
自贡市,四川省,Zigong,Sichuan,29.34162,104.77689,Asia/Shanghai,1,Zigong,Sichuan,Zigong Shi,2026-04-09 21:31:46
西昌市,四川省,Xichang,Sichuan,27.89642,102.26341,Asia/Shanghai,1,Xichang,Sichuan,Liangshan Yi Autonomous Prefecture,2026-04-09 21:31:47
资阳市,四川省,Ziyang,Sichuan,30.12108,104.64811,Asia/Shanghai,1,Ziyang,Sichuan,Ziyang Shi,2026-04-09 21:31:46
达州市,四川省,Dazhou,Sichuan,31.2106,107.46308,Asia/Shanghai,1,Dazhou,Sichuan,Dazhou Shi,2026-04-09 21:31:46
遂宁市,四川省,Suining,Sichuan,30.50802,105.57332,Asia/Shanghai,1,Suining,Sichuan,suining,2026-04-09 21:31:49
邛崃市,四川省,Qionglai,Sichuan,31.5,102.5,Asia/Shanghai,1,Qionglai Shan,Sichuan,,2026-04-09 21:31:55
都江堰市,四川省,Dujiangyan,Sichuan,30.98843,103.64639,Asia/Shanghai,1,Dujiangyan,Sichuan,Chengdu Shi,2026-04-09 21:31:48
阆中市,四川省,Langzhong,Sichuan,31.55037,105.99381,Asia/Shanghai,1,Langzhong,Sichuan,Nanchong Shi,2026-04-09 21:31:48
隆昌市,四川省,Longchang,Sichuan,,,Asia/Shanghai,0,,,,2026-04-10 09:44:01
雅安市,四川省,Ya'an,Sichuan,29.98521,102.999,Asia/Shanghai,1,Ya'an,Sichuan,Ya'an,2026-04-09 21:31:50
马尔康市,四川省,Barkam,Sichuan,31.90059,102.22092,Asia/Shanghai,1,Maerkang,Sichuan,Aba Zangzu Qiangzu Zizhizhou,2026-04-09 21:31:58
天津市,天津市,Tianjin,Tianjin,39.14222,117.17667,Asia/Shanghai,1,Tianjin,Tianjin,Tianjin Municipality,2026-04-09 21:31:50
中卫市,宁夏回族自治区,Zhongwei,Ningxia,37.51129,105.19067,Asia/Shanghai,1,Zhongwei,Ningxia,Zhongwei,2026-04-09 21:31:51
吴忠市,宁夏回族自治区,Wuzhong,Ningxia,37.9867,106.201,Asia/Shanghai,1,Wuzhong,Ningxia,Wuzhong Shi,2026-04-09 21:31:53
固原市,宁夏回族自治区,Guyuan,Ningxia,36.00667,106.28083,Asia/Shanghai,1,Guyuan,Ningxia,Guyuan Shi,2026-04-09 21:31:52
灵武市,宁夏回族自治区,Lingwu,Ningxia,38.10191,106.34017,Asia/Shanghai,1,Lingwu,Ningxia,Wuzhong Shi,2026-04-09 21:31:55
石嘴山市,宁夏回族自治区,Shizuishan,Ningxia,38.98082,106.3892,Asia/Shanghai,1,Shizuishan,Ningxia,Shizuishan Shi,2026-04-09 21:31:54
银川市,宁夏回族自治区,Yinchuan,Ningxia,38.46806,106.27306,Asia/Shanghai,1,Yinchuan,Ningxia,Yinchuan,2026-04-09 21:31:55
青铜峡市,宁夏回族自治区,Qingtongxia,Ningxia,37.89667,106.01,Asia/Shanghai,1,Qingtongxia,Ningxia,Wuzhong Shi,2026-04-09 21:31:56
亳州市,安徽省,Bozhou,Anhui,33.87722,115.77028,Asia/Shanghai,1,Bozhou,Anhui,Bozhou,2026-04-09 21:31:56
六安市,安徽省,Lu'an,Anhui,31.73561,116.51688,Asia/Shanghai,1,Lu'an,Anhui,Lu'an City,2026-04-09 21:31:58
合肥市,安徽省,Hefei,Anhui,31.86389,117.28083,Asia/Shanghai,1,Hefei,Anhui,Hefei Shi,2026-04-09 21:31:57
天长市,安徽省,Tianchang,Anhui,32.68497,119.00932,Asia/Shanghai,1,Tianchang,Anhui,Chuzhou Shi,2026-04-09 21:31:57
宁国市,安徽省,Ningguo,Anhui,30.63492,118.98421,Asia/Shanghai,1,Ningguo,Anhui,xuancheng shi,2026-04-09 21:32:00
安庆市,安徽省,Anqing,Anhui,30.51365,117.04723,Asia/Shanghai,1,Anqing,Anhui,Anqing Shi,2026-04-09 21:31:58
宣城市,安徽省,Xuancheng,Anhui,30.9525,118.75528,Asia/Shanghai,1,Xuanzhou,Anhui,xuancheng shi,2026-04-09 21:32:06
宿州市,安徽省,Suzhou,Anhui,33.63611,116.97889,Asia/Shanghai,1,Suzhou,Anhui,Suzhou Shi,2026-04-09 21:31:59
巢湖市,安徽省,Chaohu,Anhui,31.6,117.86667,Asia/Shanghai,1,Chaohu,Anhui,Hefei Shi,2026-04-09 21:31:59
明光市,安徽省,Mingguang,Anhui,32.78017,117.96378,Asia/Shanghai,1,Mingguang,Anhui,Chuzhou Shi,2026-04-09 21:32:00
桐城市,安徽省,Tongcheng,Anhui,31.03911,116.97367,Asia/Shanghai,1,Tongcheng,Anhui,Anqing Shi,2026-04-09 21:32:00
池州市,安徽省,Chizhou,Anhui,30.66134,117.47783,Asia/Shanghai,1,Chizhou,Anhui,Chizhou Shi,2026-04-09 21:32:01
淮北市,安徽省,Huaibei,Anhui,33.97444,116.79167,Asia/Shanghai,1,Huaibei,Anhui,Huaibei Shi,2026-04-09 21:32:01
淮南市,安徽省,Huainan,Anhui,32.62639,116.99694,Asia/Shanghai,1,Huainan,Anhui,Huainan Shi,2026-04-09 21:32:02
滁州市,安徽省,Chuzhou,Anhui,32.32194,118.29778,Asia/Shanghai,1,Chuzhou,Anhui,Chuzhou Shi,2026-04-09 21:32:04
潜山市,安徽省,Qianshan,Anhui,,,Asia/Shanghai,0,,,,2026-04-10 09:44:04
界首市,安徽省,Jieshou,Anhui,33.26338,115.36108,Asia/Shanghai,1,Jieshou,Anhui,Fuyang Shi,2026-04-09 21:32:03
芜湖市,安徽省,Wuhu,Anhui,31.35259,118.42947,Asia/Shanghai,1,Wuhu,Anhui,Wuhu Shi,2026-04-09 21:32:03
蚌埠市,安徽省,Bengbu,Anhui,32.94083,117.36083,Asia/Shanghai,1,Bengbu,Anhui,Bengbu Shi,2026-04-09 21:32:03
铜陵市,安徽省,Tongling,Anhui,30.95,117.78333,Asia/Shanghai,1,Tongling,Anhui,Tongling Shi,2026-04-09 21:32:05
阜阳市,安徽省,Fuyang,Anhui,32.9,115.81667,Asia/Shanghai,1,Fuyang,Anhui,Fuyang Shi,2026-04-09 21:32:07
马鞍山市,安徽省,Ma'anshan,Anhui,,,Asia/Shanghai,0,,,,2026-04-10 09:44:22
黄山市,安徽省,Huangshan,Anhui,33.775,116.96667,Asia/Shanghai,1,Huangshan,Anhui,Suzhou Shi,2026-04-09 21:32:05
东营市,山东省,Dongying,Shandong,37.46271,118.49165,Asia/Shanghai,1,Dongying,Shandong,Dongying Shi,2026-04-09 21:32:07
临沂市,山东省,Linyi,Shandong,35.06306,118.34278,Asia/Shanghai,1,Linyi,Shandong,Linyi Shi,2026-04-09 21:32:07
临清市,山东省,Linqing,Shandong,36.84092,115.71087,Asia/Shanghai,1,Linqing,Shandong,Liaocheng Shi,2026-04-09 21:32:08
乐陵市,山东省,Leling,Shandong,37.73472,117.22028,Asia/Shanghai,1,Leling,Shandong,Dezhou Shi,2026-04-09 21:32:11
乳山市,山东省,Rushan,Shandong,36.86537,121.5072,Asia/Shanghai,1,Rushankou,Shandong,Weihai Shi,2026-04-09 21:39:51
威海市,山东省,Weihai,Shandong,37.50914,122.11356,Asia/Shanghai,1,Weihai,Shandong,Weihai Shi,2026-04-09 21:32:09
安丘市,山东省,Anqiu,Shandong,36.43417,119.1925,Asia/Shanghai,1,Anqiu,Shandong,Weifang Shi,2026-04-09 21:32:10
寿光市,山东省,Shouguang,Shandong,36.88,118.7375,Asia/Shanghai,1,Shouguang,Shandong,Weifang Shi,2026-04-09 21:32:10
平度市,山东省,Pingdu,Shandong,36.78444,119.94639,Asia/Shanghai,1,Pingdu,Shandong,Qingdao Shi,2026-04-09 21:32:11
德州市,山东省,Dezhou,Shandong,37.44661,116.36706,Asia/Shanghai,1,Dezhou,Shandong,Dezhou Shi,2026-04-09 21:32:12
招远市,山东省,Zhaoyuan,Shandong,37.36497,120.40997,Asia/Shanghai,1,Zhaoyuan,Shandong,Yantai Shi,2026-04-09 21:32:12
新泰市,山东省,Xintai,Shandong,35.90056,117.75194,Asia/Shanghai,1,Xintai,Shandong,Tai’an Shi,2026-04-09 21:32:13
日照市,山东省,Rizhao,Shandong,35.41414,119.52908,Asia/Shanghai,1,Rizhao,Shandong,Rizhao Shi,2026-04-09 21:32:13
昌邑市,山东省,Changyi,Shandong,36.85361,119.39083,Asia/Shanghai,1,Changyi,Shandong,Weifang Shi,2026-04-09 21:32:14
曲阜市,山东省,Qufu,Shandong,35.59667,116.99111,Asia/Shanghai,1,Qufu,Shandong,Jining Shi,2026-04-09 21:32:17
